 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 03/11/2009   17:57:04
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:57:04  |  General  |  Info  |  LanguageManager successfully initialized  |  MyGUI_LanguageManager.cpp  |  44
17:57:04  |  General  |  Info  |  Load ini file 'core_location.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_keyboard.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_language.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_layer.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_font.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_theme.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_resource.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_skin.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Load ini file 'core_pointer.xml' from resource group : General  |  MyGUI_ResourceManager.cpp  |  147
17:57:04  |  General  |  Info  |  Gui successfully initialized  |  MyGUI_Gui.cpp  |  115
17:57:04  |  General  |  Info  |  Font 'Default' using texture size 1024 x 128  |  MyGUI_Font.cpp  |  205
17:57:04  |  General  |  Info  |  Font 'Default' using real height 17 pixels  |  MyGUI_Font.cpp  |  206
